line_number,raw_date,corrected_date,date,year_correction_applied,lift,lift_name,weight,reps,failed,estimated_1rm,raw
7,2022-05-17,2022-05-17,2022-05-17,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
8,2022-05-17,2022-05-17,2022-05-17,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
9,2022-05-17,2022-05-17,2022-05-17,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
10,2022-05-17,2022-05-17,2022-05-17,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
11,2022-05-17,2022-05-17,2022-05-17,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
12,2022-05-17,2022-05-17,2022-05-17,False,bench,벤치프레스,80.0,4,False,90.66666666666666,80 * 4
65,2022-05-19,2022-05-19,2022-05-19,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
66,2022-05-19,2022-05-19,2022-05-19,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
67,2022-05-19,2022-05-19,2022-05-19,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
68,2022-05-19,2022-05-19,2022-05-19,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
69,2022-05-19,2022-05-19,2022-05-19,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
70,2022-05-19,2022-05-19,2022-05-19,False,squat,스쿼트,100.0,3,False,110.00000000000001,100 * 3
71,2022-05-19,2022-05-19,2022-05-19,False,squat,스쿼트,80.0,5,False,93.33333333333334,80 * 5
72,2022-05-19,2022-05-19,2022-05-19,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
84,2022-05-23,2022-05-23,2022-05-23,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
85,2022-05-23,2022-05-23,2022-05-23,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
86,2022-05-23,2022-05-23,2022-05-23,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
87,2022-05-23,2022-05-23,2022-05-23,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
88,2022-05-23,2022-05-23,2022-05-23,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
89,2022-05-23,2022-05-23,2022-05-23,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
126,2022-05-25,2022-05-25,2022-05-25,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
127,2022-05-25,2022-05-25,2022-05-25,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
128,2022-05-25,2022-05-25,2022-05-25,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
129,2022-05-25,2022-05-25,2022-05-25,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
130,2022-05-25,2022-05-25,2022-05-25,False,squat,스쿼트,100.0,5,False,116.66666666666667,100 * 5
131,2022-05-25,2022-05-25,2022-05-25,False,squat,스쿼트,100.0,5,True,116.66666666666667,100 * 5(깔짝)
132,2022-05-25,2022-05-25,2022-05-25,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
133,2022-05-25,2022-05-25,2022-05-25,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
134,2022-05-25,2022-05-25,2022-05-25,False,squat,스쿼트,60.0,5,False,70.0,60 * 5(상체는 기울인 상태에서 고정으로 내려가고 올라가고)
135,2022-05-25,2022-05-25,2022-05-25,False,squat,스쿼트,60.0,5,False,70.0,60 * 5
141,2022-05-26,2022-05-26,2022-05-26,False,bench,벤치프레스,60.0,5,False,70.0,60 * 5
142,2022-05-26,2022-05-26,2022-05-26,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
143,2022-05-26,2022-05-26,2022-05-26,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
144,2022-05-26,2022-05-26,2022-05-26,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
145,2022-05-26,2022-05-26,2022-05-26,False,bench,벤치프레스,80.0,5,False,93.33333333333334,80 * 5
