month,month_date,lift,lift_name,monthly_top_weight,monthly_best_1rm
2022-05,2022-05-01,bench,벤치프레스,85.0,93.33333333333334
2022-05,2022-05-01,squat,스쿼트,100.0,116.66666666666667
2022-06,2022-06-01,bench,벤치프레스,100.0,116.66666666666667
2022-06,2022-06-01,squat,스쿼트,100.0,116.66666666666667
2022-07,2022-07-01,bench,벤치프레스,100.0,116.66666666666667
2022-07,2022-07-01,squat,스쿼트,110.0,128.33333333333334
2022-08,2022-08-01,bench,벤치프레스,120.0,124.00000000000001
2022-08,2022-08-01,deadlift,데드리프트,170.0,175.66666666666669
2022-08,2022-08-01,squat,스쿼트,140.0,149.33333333333334
2022-09,2022-09-01,bench,벤치프레스,120.0,128.33333333333334
2022-09,2022-09-01,deadlift,데드리프트,180.0,186.00000000000003
2022-09,2022-09-01,squat,스쿼트,130.0,140.0
2022-10,2022-10-01,bench,벤치프레스,130.0,134.33333333333334
2022-10,2022-10-01,deadlift,데드리프트,180.0,186.00000000000003
2022-10,2022-10-01,squat,스쿼트,150.0,155.00000000000003
2022-11,2022-11-01,bench,벤치프레스,130.0,134.33333333333334
2022-11,2022-11-01,deadlift,데드리프트,180.0,186.00000000000003
2022-11,2022-11-01,squat,스쿼트,150.0,155.00000000000003
2022-12,2022-12-01,bench,벤치프레스,120.0,136.0
2022-12,2022-12-01,deadlift,데드리프트,210.0,217.00000000000003
2022-12,2022-12-01,squat,스쿼트,160.0,165.33333333333334
2023-01,2023-01-01,bench,벤치프레스,120.0,136.0
2023-01,2023-01-01,deadlift,데드리프트,210.0,217.00000000000003
2023-01,2023-01-01,squat,스쿼트,150.0,165.0
2023-02,2023-02-01,deadlift,데드리프트,200.0,206.66666666666669
2023-02,2023-02-01,squat,스쿼트,120.0,140.0
2023-03,2023-03-01,bench,벤치프레스,110.0,116.66666666666667
2023-03,2023-03-01,deadlift,데드리프트,200.0,206.66666666666669
2023-03,2023-03-01,squat,스쿼트,100.0,116.66666666666667
2023-08,2023-08-01,bench,벤치프레스,100.0,106.66666666666667
2023-08,2023-08-01,deadlift,데드리프트,160.0,165.33333333333334
2023-08,2023-08-01,squat,스쿼트,130.0,134.33333333333334
2023-09,2023-09-01,bench,벤치프레스,120.0,124.66666666666666
2023-09,2023-09-01,deadlift,데드리프트,180.0,186.00000000000003
2023-09,2023-09-01,squat,스쿼트,150.0,155.00000000000003
2023-10,2023-10-01,bench,벤치프레스,130.0,134.33333333333334
2023-10,2023-10-01,deadlift,데드리프트,200.0,206.66666666666669
2023-10,2023-10-01,squat,스쿼트,150.0,155.00000000000003
2023-11,2023-11-01,bench,벤치프레스,130.0,136.0
2023-11,2023-11-01,deadlift,데드리프트,210.0,217.00000000000003
2023-11,2023-11-01,squat,스쿼트,140.0,144.66666666666669
2023-12,2023-12-01,bench,벤치프레스,120.0,128.33333333333334
2023-12,2023-12-01,deadlift,데드리프트,180.0,186.00000000000003
2024-01,2024-01-01,bench,벤치프레스,120.0,128.33333333333334
2024-01,2024-01-01,deadlift,데드리프트,150.0,155.00000000000003
2024-01,2024-01-01,squat,스쿼트,130.0,140.0
2024-02,2024-02-01,bench,벤치프레스,120.0,132.0
2024-02,2024-02-01,deadlift,데드리프트,200.0,206.66666666666669
2024-02,2024-02-01,squat,스쿼트,150.0,155.00000000000003
2024-03,2024-03-01,bench,벤치프레스,130.0,140.0
2024-03,2024-03-01,deadlift,데드리프트,210.0,217.00000000000003
2024-03,2024-03-01,squat,스쿼트,140.0,144.66666666666669
2024-04,2024-04-01,bench,벤치프레스,120.0,140.0
2024-04,2024-04-01,deadlift,데드리프트,210.0,217.00000000000003
2024-04,2024-04-01,squat,스쿼트,150.0,155.00000000000003
2024-05,2024-05-01,bench,벤치프레스,130.0,140.0
2024-05,2024-05-01,deadlift,데드리프트,210.0,217.00000000000003
2024-05,2024-05-01,squat,스쿼트,150.0,155.00000000000003
2024-06,2024-06-01,bench,벤치프레스,140.0,144.66666666666669
2024-06,2024-06-01,deadlift,데드리프트,220.0,227.33333333333334
2024-06,2024-06-01,squat,스쿼트,160.0,165.33333333333334
2024-07,2024-07-01,bench,벤치프레스,130.0,140.0
2024-07,2024-07-01,deadlift,데드리프트,220.0,227.33333333333334
2024-07,2024-07-01,squat,스쿼트,170.0,175.66666666666669
2024-08,2024-08-01,bench,벤치프레스,130.0,136.0
2024-08,2024-08-01,deadlift,데드리프트,220.0,227.33333333333334
2024-08,2024-08-01,squat,스쿼트,160.0,165.33333333333334
2024-09,2024-09-01,bench,벤치프레스,120.0,134.16666666666669
2024-09,2024-09-01,deadlift,데드리프트,210.0,217.00000000000003
2024-09,2024-09-01,squat,스쿼트,150.0,155.00000000000003
2024-10,2024-10-01,bench,벤치프레스,120.0,128.33333333333334
2024-10,2024-10-01,deadlift,데드리프트,200.0,206.66666666666669
2024-10,2024-10-01,squat,스쿼트,150.0,155.00000000000003
2024-11,2024-11-01,bench,벤치프레스,120.0,128.33333333333334
2024-11,2024-11-01,deadlift,데드리프트,200.0,206.66666666666669
2024-11,2024-11-01,squat,스쿼트,150.0,155.00000000000003
2024-12,2024-12-01,bench,벤치프레스,120.0,130.33333333333334
