line_number,raw_date,corrected_date,date,month,lift,lift_name,weight,reps,sets,failed,estimated_1rm,raw,year_correction_applied
7,2022-05-17,2022-05-17,2022-05-17,2022-05,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
8,2022-05-17,2022-05-17,2022-05-17,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
9,2022-05-17,2022-05-17,2022-05-17,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
10,2022-05-17,2022-05-17,2022-05-17,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
11,2022-05-17,2022-05-17,2022-05-17,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
12,2022-05-17,2022-05-17,2022-05-17,2022-05,bench,벤치프레스,80.0,4,1,False,90.66666666666666,80 * 4,False
65,2022-05-19,2022-05-19,2022-05-19,2022-05,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
66,2022-05-19,2022-05-19,2022-05-19,2022-05,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
67,2022-05-19,2022-05-19,2022-05-19,2022-05,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
68,2022-05-19,2022-05-19,2022-05-19,2022-05,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
69,2022-05-19,2022-05-19,2022-05-19,2022-05,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
70,2022-05-19,2022-05-19,2022-05-19,2022-05,squat,스쿼트,100.0,3,1,False,110.00000000000001,100 * 3,False
71,2022-05-19,2022-05-19,2022-05-19,2022-05,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
72,2022-05-19,2022-05-19,2022-05-19,2022-05,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
84,2022-05-23,2022-05-23,2022-05-23,2022-05,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
85,2022-05-23,2022-05-23,2022-05-23,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
86,2022-05-23,2022-05-23,2022-05-23,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
87,2022-05-23,2022-05-23,2022-05-23,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
88,2022-05-23,2022-05-23,2022-05-23,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
89,2022-05-23,2022-05-23,2022-05-23,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
126,2022-05-25,2022-05-25,2022-05-25,2022-05,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
127,2022-05-25,2022-05-25,2022-05-25,2022-05,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
128,2022-05-25,2022-05-25,2022-05-25,2022-05,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
129,2022-05-25,2022-05-25,2022-05-25,2022-05,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
130,2022-05-25,2022-05-25,2022-05-25,2022-05,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
131,2022-05-25,2022-05-25,2022-05-25,2022-05,squat,스쿼트,100.0,5,1,True,116.66666666666667,100 * 5(깔짝),False
132,2022-05-25,2022-05-25,2022-05-25,2022-05,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
133,2022-05-25,2022-05-25,2022-05-25,2022-05,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
134,2022-05-25,2022-05-25,2022-05-25,2022-05,squat,스쿼트,60.0,5,1,False,70.0,60 * 5(상체는 기울인 상태에서 고정으로 내려가고 올라가고),False
135,2022-05-25,2022-05-25,2022-05-25,2022-05,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
141,2022-05-26,2022-05-26,2022-05-26,2022-05,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
142,2022-05-26,2022-05-26,2022-05-26,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
143,2022-05-26,2022-05-26,2022-05-26,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
144,2022-05-26,2022-05-26,2022-05-26,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
145,2022-05-26,2022-05-26,2022-05-26,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
181,2022-05-28,2022-05-28,2022-05-28,2022-05,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
182,2022-05-28,2022-05-28,2022-05-28,2022-05,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
183,2022-05-28,2022-05-28,2022-05-28,2022-05,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
184,2022-05-28,2022-05-28,2022-05-28,2022-05,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
185,2022-05-28,2022-05-28,2022-05-28,2022-05,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
186,2022-05-28,2022-05-28,2022-05-28,2022-05,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
187,2022-05-28,2022-05-28,2022-05-28,2022-05,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
193,2022-05-30,2022-05-30,2022-05-30,2022-05,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
194,2022-05-30,2022-05-30,2022-05-30,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
195,2022-05-30,2022-05-30,2022-05-30,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
196,2022-05-30,2022-05-30,2022-05-30,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
197,2022-05-30,2022-05-30,2022-05-30,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
198,2022-05-30,2022-05-30,2022-05-30,2022-05,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
199,2022-05-30,2022-05-30,2022-05-30,2022-05,bench,벤치프레스,85.0,1,1,False,87.83333333333334,85 * 1,False
232,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
233,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
234,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,85.0,5,1,False,99.16666666666667,85 * 5,False
235,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,85.0,5,1,False,99.16666666666667,85 * 5,False
236,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,85.0,5,1,False,99.16666666666667,85 * 5,False
237,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,85.0,5,1,False,99.16666666666667,85 * 5,False
238,2022-06-02,2022-06-02,2022-06-02,2022-06,bench,벤치프레스,85.0,5,1,False,99.16666666666667,85 * 5,False
286,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,60.0,5,1,False,70.0,60 * 5,False
287,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,80.0,5,1,False,93.33333333333334,80 * 5,False
288,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
289,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
290,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
291,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
292,2022-06-06,2022-06-06,2022-06-06,2022-06,bench,벤치프레스,90.0,5,1,False,105.0,90 * 5,False
329,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,60.0,5,1,False,70.0,60 * 5,False
330,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
331,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
332,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,100.0,5,1,False,116.66666666666667,100 * 5,False
333,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
334,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
335,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
336,2022-06-08,2022-06-08,2022-06-08,2022-06,squat,스쿼트,80.0,5,1,False,93.33333333333334,80 * 5,False
